Random,First-Fit (K8s),Greedy Latency,RL Agent (PPO)
52.0,9.96,9.96,31.6
-66.8,20.78,-1.259999999999998,72.36
36.78,8.920000000000002,9.340000000000003,54.0
6.780000000000001,8.339999999999996,9.080000000000002,74.96
32.78,-10.04,14.720000000000002,81.99999999999999
28.58,9.14,9.34,98.74
13.0,-0.15999999999999837,-0.09999999999999964,64.98
20.599999999999998,13.840000000000002,13.699999999999998,75.74
13.999999999999995,7.699999999999996,8.1,109.79999999999997
34.0,4.920000000000002,4.940000000000001,73.6
6.380000000000003,10.46,11.439999999999994,88.77999999999997
33.0,-5.02,-5.059999999999999,67.6
55.980000000000004,4.940000000000001,29.5,49.980000000000004
44.599999999999994,4.920000000000002,4.920000000000002,75.8
9.99999999999999,3.3200000000000003,2.6000000000000014,79.9
-2.3999999999999986,1.8200000000000038,2.580000000000002,100.51999999999998
50.8,4.960000000000001,4.920000000000002,50.00000000000001
36.0,-5.039999999999999,-5.079999999999998,66.2
31.799999999999997,9.340000000000003,8.759999999999998,70.38
-46.459999999999994,-2.6599999999999984,-3.719999999999999,73.93999999999996
32.8,-0.019999999999999574,0.0,47.6
-70.42,26.26,25.78,101.71999999999998
41.8,0.0,0.0,48.400000000000006
35.379999999999995,-11.159999999999997,13.04,76.35999999999999
12.58,-2.219999999999999,-1.319999999999995,60.98000000000001
29.38000000000001,-1.679999999999998,-1.700000000000001,79.38
